어종,산지,규격,포장,수량,중량,낙찰고가,낙찰저가,평균가,year,month
(선)홍어,목포,중,kg,622.2,1.0,"7,000","3,200","4,100",2022,3
(선)홍어,안흥,대,c/s(상자),2.8,1.0,"6,000","6,000","6,000",2022,3
(선)홍어,군산,대,c/s(상자),195.7,1.0,"10,000","3,700","7,000",2022,3
(선)홍어,군산,중,S/P,69.7,1.0,"3,000","3,000","3,000",2022,3
(선)홍어,부산(기장),대,S/P,21.6,1.0,"5,000","4,000","4,800",2022,3
(선)홍어,포항,대,S/P,597.1,1.0,"7,000","3,000","4,800",2022,3
(선)홍어,방어진,1미,S/P,8.8,1.0,"8,000","8,000","8,000",2022,3
(선)홍어,장항,2미,S/P,1,20.0,"150,000","150,000","150,000",2022,3
(선)홍어,목포,대,c/s(상자),"2,514.8",1.0,"8,500","3,500","5,900",2022,3
(선)홍어,인천,대,S/P,138,1.0,"7,000","5,300","5,900",2022,3
(선)홍어,태안,중,kg,731,1.0,"9,000","3,000","7,600",2022,3
(선)홍어,포항,중,kg,15.9,1.0,"3,000","3,000","3,000",2022,3
(선)홍어,군산,대,c/s(상자),3,20.0,"272,000","270,000","270,700",2022,3
(선)홍어,군산,대,S/P,8,20.0,"488,000","180,000","308,400",2022,3
(선)홍어,안흥,중,kg,"2,621.7",1.0,"9,000","2,500","6,100",2022,3
(선)홍어,보령,대,c/s(상자),144.7,1.0,"9,000","7,000","8,100",2022,3
(선)홍어,장항,3미,S/P,1,26.0,"208,000","208,000","208,000",2022,3
(선)홍어,군산,2단,c/s(상자),"1,156.1",1.0,"8,000","3,000","4,800",2022,3
